id,lang,timespan,keyword,topics,topic_name,count
ger_1900_iron_7,ger,1900,iron,"['verk', 'Bill', 'billig', 'Naeh', 'Piano', 'verkaufen', 'Verk', 'Gesucht', 'suchen', 'Maedch', 'Offerte', 'bill', 'eleg', 'Etage', 'Eleg']",sales,1028
ger_1900_iron_8,ger,1900,iron,"['Pastor', 'Predigt', 'abends', 'Akte', 'Abendmahl', 'Oper', 'Messe', 'abend', 'Sonntag', 'Prediger', 'Kirche', 'Lustspiel', 'Ansang', 'Theater', 'Gottesdienst']",religion,125
ger_1900_iron_9,ger,1900,iron,"['russisch', 'Kaiser', 'Koenig', 'Regierung', 'General', 'Krieg', 'Prinz', 'Rußland', 'Truppe', 'China', 'London', 'japanisch', 'Minister', 'Fuerst', 'Privattelegramm']",war,586
ger_1900_iron_10,ger,1900,iron,"['Auge', 'Blick', 'Gesicht', 'Mensch', 'lachen', 'Gott', 'denken', 'wissen', 'Liebe', 'sagen', 'sitzen', 'fragen', 'Mutter', 'Herz', 'Dichter']",body,712
ger_1900_iron_11,ger,1900,iron,"['Meter', 'Wasser', 'laufen', 'dicht', 'rennen', 'Platz', 'Boot', 'Pferd', 'Tier', 'Erde', 'Minute', 'fahren', 'Kilometer', 'Kirche', 'Berg']",travel,279
eng_1900_gasoline_0,eng,1900,gasoline,"['Steel', 'Amer', 'Copper', 'Inter', 'Pacific', 'Sugar', 'Motor', 'Corp', 'Motors', 'Prod', 'Coal', 'Ohio', 'Iron', 'Cons', 'Tobacco']",production,880
eng_1900_gasoline_1,eng,1900,gasoline,"['Garage', 'reference', 'room', 'Herald', 'Oarage', 'experience', 'want', 'family', 'Miss', 'apartment', 'good', 'woman', 'home', 'cook', 'wish']",hiring,853
eng_1900_gasoline_2,eng,1900,gasoline,"['first', 'bond', 'white', 'extra', 'July', 'spot', 'Company', 'Trust', 'street', 'asset', 'attorney', 'liability', 'January', 'unknown', 'March']",companies,340
eng_1900_gasoline_3,eng,1900,gasoline,"['cent', 'stock', 'yesterday', 'company', 'market', 'month', 'rate', 'year', 'point', 'price', 'share', 'week', 'issue', 'dividend', 'report']",stock,1469
eng_1900_gasoline_4,eng,1900,gasoline,"['pier', 'Ambrose', 'sail', 'Steamship', 'strs', 'Port', 'noon', 'Jupiter', 'Cape', 'mdse', 'barge', 'arrive', 'Norfolk', 'River', 'anchor']",boats,386
